APPAREL,,,,,,,,,,
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-T1017-S,Balloon Arch Tee,T-Shirt,U,S,3,25%,0,$40.00 ,$120.00 ,25%
AIRS-T1017-M,Balloon Arch Tee,T-Shirt,U,M,0,0%,0,$0.00 ,$0.00 ,0%
AIRS-T1017-L,Balloon Arch Tee,T-Shirt,U,L,6,50%,0,$40.00 ,$240.00 ,50%
AIRS-T1017-XL,Balloon Arch Tee,T-Shirt,U,XL,1,8%,0,$40.00 ,$40.00 ,8%
AIRS-T1017-XXL,Balloon Arch Tee,T-Shirt,U,2XL,2,17%,0,$40.00 ,$80.00 ,17%
AIRS-T1017-3XL,Balloon Arch Tee,T-Shirt,U,3XL,0,0%,0,$0.00 ,$0.00 ,0%
SUBTOTAL,Balloon Arch Tee,T-Shirt,U,,12,18%,0,$40.00 ,$480.00 ,15%
,,,,,,,,,,
AIRS-T1018-S,Jazzy Balloon Tee,T-Shirt,U,S,1,7%,0,$40.00 ,$40.00 ,7%
AIRS-T1018-M,Jazzy Balloon Tee,T-Shirt,U,M,3,20%,0,$40.00 ,$120.00 ,20%
AIRS-T1018-L,Jazzy Balloon Tee,T-Shirt,U,L,6,40%,0,$40.00 ,$240.00 ,40%
AIRS-T1018-XL,Jazzy Balloon Tee,T-Shirt,U,XL,1,7%,0,$40.00 ,$40.00 ,7%
AIRS-T1018-XXL,Jazzy Balloon Tee,T-Shirt,U,2XL,4,27%,0,$40.00 ,$160.00 ,27%
AIRS-T1018-3XL,Jazzy Balloon Tee,T-Shirt,U,3XL,0,0%,0,$0.00 ,$0.00 ,0%
SUBTOTAL,Jazzy Balloon Tee,T-Shirt,U,,15,22%,0,$40.00 ,$600.00 ,19%
,,,,,,,,,,
AIRS-T1010-S,Est. 1975 Guitar T-Shirt,T-Shirt,M,S,3,18%,0,$40.00 ,$120.00 ,18%
AIRS-T1010-M,Est. 1975 Guitar T-Shirt,T-Shirt,M,M,5,29%,0,$40.00 ,$200.00 ,29%
AIRS-T1010-L,Est. 1975 Guitar T-Shirt,T-Shirt,M,L,3,18%,0,$40.00 ,$120.00 ,18%
AIRS-T1010-XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,XL,5,29%,0,$40.00 ,$200.00 ,29%
AIRS-T1010-XXL,Est. 1975 Guitar T-Shirt,T-Shirt,M,2XL,1,6%,0,$40.00 ,$40.00 ,6%
AIRS-T1010-3XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,3XL,0,0%,0,$0.00 ,$0.00 ,0%
SUBTOTAL,Est. 1975 Guitar T-Shirt,T-Shirt,M,,17,25%,0,$40.00 ,$680.00 ,22%
,,,,,,,,,,
AIRS-T1016-S,Women's V-Neck T-Shirt,T-Shirt,F,S,0,0%,0,$0.00 ,$0.00 ,0%
