APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-T1017-S,Balloon Arch Tee,T-Shirt,U,S,2,6%,0,$40.00,$80.00,6%
AIRS-T1017-M,Balloon Arch Tee,T-Shirt,U,M,9,26%,0,$40.00,$360.00,26%
AIRS-T1017-L,Balloon Arch Tee,T-Shirt,U,L,8,24%,1,$40.00,$320.00,24%
AIRS-T1017-XL,Balloon Arch Tee,T-Shirt,U,XL,7,21%,0,$40.00,$280.00,21%
AIRS-T1017-XXL,Balloon Arch Tee,T-Shirt,U,2XL,3,9%,0,$40.00,$120.00,9%
AIRS-T1017-3XL,Balloon Arch Tee,T-Shirt,U,3XL,5,15%,0,$40.00,$200.00,15%
SUBTOTAL,Balloon Arch Tee,T-Shirt,U,"",34,19%,1,$40.00,"$1,360.00",16%

AIRS-T1018-S,Jazzy Balloon Tee,T-Shirt,U,S,1,3%,0,$40.00,$40.00,3%
AIRS-T1018-M,Jazzy Balloon Tee,T-Shirt,U,M,3,9%,0,$40.00,$120.00,9%
AIRS-T1018-L,Jazzy Balloon Tee,T-Shirt,U,L,5,16%,0,$40.00,$200.00,16%
AIRS-T1018-XL,Jazzy Balloon Tee,T-Shirt,U,XL,13,41%,1,$40.00,$520.00,41%
AIRS-T1018-XXL,Jazzy Balloon Tee,T-Shirt,U,2XL,9,28%,0,$40.00,$360.00,28%
AIRS-T1018-3XL,Jazzy Balloon Tee,T-Shirt,U,3XL,1,3%,0,$40.00,$40.00,3%
SUBTOTAL,Jazzy Balloon Tee,T-Shirt,U,"",32,18%,1,$40.00,"$1,280.00",15%

AIRS-T1010-S,Est. 1975 Guitar T-Shirt,T-Shirt,M,S,2,4%,0,$40.00,$80.00,4%
AIRS-T1010-M,Est. 1975 Guitar T-Shirt,T-Shirt,M,M,6,13%,0,$40.00,$240.00,13%
AIRS-T1010-L,Est. 1975 Guitar T-Shirt,T-Shirt,M,L,11,23%,0,$40.00,$440.00,23%
AIRS-T1010-XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,XL,15,32%,0,$40.00,$600.00,32%
AIRS-T1010-XXL,Est. 1975 Guitar T-Shirt,T-Shirt,M,2XL,8,17%,0,$40.00,$320.00,17%
AIRS-T1010-3XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,3XL,5,11%,0,$40.00,$200.00,11%
SUBTOTAL,Est. 1975 Guitar T-Shirt,T-Shirt,M,"",47,26%,0,$40.00,"$1,880.00",22%

AIRS-T1016-S,Women's V-Neck T-Shirt,T-Shirt,F,S,3,16%,0,$40.00,$120.00,16%
AIRS-T1016-M,Women's V-Neck T-Shirt,T-Shirt,F,M,7,37%,0,$40.00,$280.00,37%
AIRS-T1016-L,Women's V-Neck T-Shirt,T-Shirt,F,L,4,21%,0,$40.00,$160.00,21%
AIRS-T1016-XL,Women's V-Neck T-Shirt,T-Shirt,F,XL,3,16%,0,$40.00,$120.00,16%
