APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-T1081-S,North america leg 2 tour t-shirt,T-Shirt,U,S,128,9%,0,$45.00,"$5,760.00",9%
DEFTONES-T1081-M,North america leg 2 tour t-shirt,T-Shirt,U,M,377,26%,0,$45.00,"$16,965.00",26%
DEFTONES-T1081-L,North america leg 2 tour t-shirt,T-Shirt,U,L,454,31%,0,$45.00,"$20,430.00",31%
DEFTONES-T1081-XL,North america leg 2 tour t-shirt,T-Shirt,U,XL,346,24%,0,$45.00,"$15,570.00",24%
DEFTONES-T1081-XXL,North america leg 2 tour t-shirt,T-Shirt,U,2XL,158,11%,0,$45.00,"$7,110.00",11%
SUBTOTAL,North america leg 2 tour t-shirt,T-Shirt,U,"",1463,20%,0,$45.00,"$65,835.00",17%

DEFTONES-T1082-S,"KHAKI, SCORPION TEE	",T-Shirt,U,S,64,8%,0,$45.00,"$2,880.00",8%
DEFTONES-T1082-M,"KHAKI, SCORPION TEE	",T-Shirt,U,M,162,21%,0,$45.00,"$7,290.00",21%
DEFTONES-T1082-L,"KHAKI, SCORPION TEE	",T-Shirt,U,L,255,33%,0,$45.00,"$11,475.00",33%
DEFTONES-T1082-XL,"KHAKI, SCORPION TEE	",T-Shirt,U,XL,225,29%,0,$45.00,"$10,125.00",29%
DEFTONES-T1082-XXL,"KHAKI, SCORPION TEE	",T-Shirt,U,2XL,72,9%,0,$45.00,"$3,240.00",9%
SUBTOTAL,"KHAKI, SCORPION TEE	",T-Shirt,U,"",778,10%,0,$45.00,"$35,010.00",9%

DEFTONES-T1083-S,Band photo t-shirt,T-Shirt,U,S,23,11%,0,$45.00,"$1,035.00",11%
DEFTONES-T1083-M,Band photo t-shirt,T-Shirt,U,M,40,19%,0,$45.00,"$1,800.00",19%
DEFTONES-T1083-L,Band photo t-shirt,T-Shirt,U,L,67,32%,0,$45.00,"$3,015.00",32%
DEFTONES-T1083-XL,Band photo t-shirt,T-Shirt,U,XL,45,21%,0,$45.00,"$2,025.00",21%
DEFTONES-T1083-XXL,Band photo t-shirt,T-Shirt,U,2XL,35,17%,0,$45.00,"$1,575.00",17%
SUBTOTAL,Band photo t-shirt,T-Shirt,U,"",210,3%,0,$45.00,"$9,450.00",2%

