APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-T2022-S,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,S,14,18%,0,$43.10,$603.40,18%
GAR-T2022-M,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,M,11,14%,0,$43.10,$474.10,14%
GAR-T2022-L,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,L,34,43%,0,$43.10,"$1,465.40",43%
GAR-T2022-XL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,XL,14,18%,0,$43.10,$603.40,18%
GAR-T2022-XXL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,2XL,7,9%,0,$43.10,$301.70,9%
SUBTOTAL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,"",80,40%,0,$43.10,"$3,448.00",40%

GAR-T2021-S,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,S,24,20%,0,$43.10,"$1,034.40",20%
GAR-T2021-M,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,M,31,26%,0,$43.10,"$1,336.10",26%
GAR-T2021-L,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,L,29,24%,0,$43.10,"$1,249.90",24%
GAR-T2021-XL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,XL,23,19%,0,$43.10,$991.30,19%
GAR-T2021-XXL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,2XL,12,10%,0,$43.10,$517.20,10%
SUBTOTAL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,"",119,60%,0,$43.10,"$5,128.90",60%

TOTAL APPAREL,"","","","",199,100%,0,"","$8,576.90",100%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total

TOTAL OTHER,"","","","",0,0%,0,"",$0.00,0%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total

TOTAL MUSIC,"","","","",0,0%,0,"",$0.00,0%

GRAND TOTAL,"","","","",199,"",0,"","$8,576.90"
