APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
JELROL-T10079-S,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,S,67,11%,0,$49.84,"$3,339.28",11%
JELROL-T10079-M,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,M,125,20%,0,$49.84,"$6,230.00",20%
JELROL-T10079-L,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,L,164,26%,0,$49.84,"$8,173.76",26%
JELROL-T10079-XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,XL,149,23%,0,$49.84,"$7,426.16",23%
JELROL-T10079-XXL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,2XL,81,13%,0,$49.84,"$4,037.04",13%
JELROL-T10079-3XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,3XL,52,8%,0,$49.84,"$2,591.68",8%
SUBTOTAL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,"",638,24%,0,$49.84,"$31,797.92",26%

JELROL-T10080-S,Beautifully Broken Face Tee,T-Shirt,U,S,64,12%,0,$49.84,"$3,189.76",12%
JELROL-T10080-M,Beautifully Broken Face Tee,T-Shirt,U,M,106,20%,0,$49.84,"$5,283.04",20%
JELROL-T10080-L,Beautifully Broken Face Tee,T-Shirt,U,L,141,27%,0,$49.84,"$7,027.44",27%
JELROL-T10080-XL,Beautifully Broken Face Tee,T-Shirt,U,XL,98,19%,0,$49.84,"$4,884.32",19%
JELROL-T10080-XXL,Beautifully Broken Face Tee,T-Shirt,U,2XL,68,13%,0,$49.84,"$3,389.12",13%
JELROL-T10080-3XL,Beautifully Broken Face Tee,T-Shirt,U,3XL,41,8%,0,$49.84,"$2,043.44",8%
SUBTOTAL,Beautifully Broken Face Tee,T-Shirt,U,"",518,20%,0,$49.84,"$25,817.12",21%

JELROL-T10081-S,DREAMS DONT DIE TEE,T-Shirt,U,S,61,17%,0,$49.84,"$3,040.24",17%
JELROL-T10081-M,DREAMS DONT DIE TEE,T-Shirt,U,M,110,31%,0,$49.84,"$5,482.40",31%
JELROL-T10081-L,DREAMS DONT DIE TEE,T-Shirt,U,L,0,0%,0,$0.00,$0.00,0%
