
Tour Summary
Artist: Air Supply
50th Anniversary Q2 US/Can for 04/04/2025 to 06/20/2025
Date,City,State,Zip,Venue,Venue Actual %,Capacity,Attend,Currency,Exch. Rate,Per Head,Gross,Tax,Payment Fees,Venue Fee,Venue Adjust.,Vend Fee,Ext Exp,Bootleg Exp,Selling Exp,Net Receipts
04/04/2025,Prior Lake,MN,55372,Mystic Lake Casino,24%,"2,100","1,880",USD,1.0,$6.70,"$12,605.00",$0.00,$569.45,"$3,008.89",$0.00,$0.00,$0.00,$0.00,"$3,578.34","$9,026.66"
04/05/2025,Rockford,Illinois,61107,Hard Rock Casino Rockford,17%,0,"1,491",USD,1.0,$6.14,"$9,150.00",$736.21,$428.03,"$1,597.16",$0.00,$0.00,$0.00,$0.00,"$2,025.19","$6,388.60"
04/10/2025,Fort Pierce,FL,34950,Sunrise Theatre,18%,"1,214",946,USD,1.0,$3.29,"$3,115.00",$203.79,$153.35,$551.57,$0.00,$0.00,$0.00,$0.00,$704.92,"$2,206.29"
04/11/2025,Jacksonville,FL,32205,The Florida Theatre,18%,"1,900","1,164",USD,1.0,$6.00,"$6,985.00",$487.33,$351.35,"$1,229.26",$0.00,$0.00,$0.00,$0.00,"$1,580.61","$4,917.06"
04/13/2025,Clearwater,FL,33755,The Baycare Sound,22%,0,"2,787",USD,1.0,$4.71,"$13,140.00",$859.63,$633.44,"$2,911.73",$0.00,$0.00,$0.00,$0.00,"$3,545.17","$8,735.20"
04/25/2025,Wabash,IN,46992,Honeywell Center ,18%,"1,500",852,USD,1.0,$5.82,"$4,960.00",$324.49,$181.20,$890.86,$0.00,$0.00,$0.00,$0.00,"$1,072.06","$3,563.45"
04/26/2025,Elkhart,IN,46516,The Lerner Theatre,18%,"1,707","1,003",USD,1.0,$8.46,"$8,485.00",$555.09,$375.68,"$1,510.84",$0.00,$0.00,$0.00,$0.00,"$1,886.52","$6,043.39"
05/03/2025,Miami,FL,33125,Magic City Casino,9%,"3,000","2,181",USD,1.0,$2.66,"$5,800.00",$379.44,$277.43,$514.32,$0.00,$0.00,$0.00,$0.00,$791.75,"$4,628.81"
05/04/2025,Sarasota,FL,34236,Van Wezel Performing Arts Hall,18%,"1,736","1,611",USD,1.0,$2.31,"$3,715.00",$243.04,$167.80,$660.84,$0.00,$0.00,$0.00,$0.00,$828.64,"$2,643.32"
05/10/2025,Uncasville,CT,06382,Mohegan Sun Arena,19%,"10,000","7,519",USD,1.0,$0.61,"$4,605.00",$0.00,$167.75,$887.45,$0.00,$0.00,$0.00,$0.00,"$1,055.20","$3,549.80"
05/13/2025,New York`,NY,10019,Stern Auditorium / Perelman Stage at Carnegie Hall,25%,0,0,USD,1.0,$0.00,"$16,100.00",$0.00,$0.00,"$4,025.00",$0.00,$0.00,$0.00,$0.00,"$4,025.00","$12,075.00"
05/16/2025,Saint Louis,MO,63125,River City Casino & Hotel,13%,"1,114",975,USD,1.0,$7.68,"$7,490.00",$660.74,$334.94,$974.15,$0.00,$0.00,$0.00,$0.00,"$1,309.09","$5,520.17"
05/17/2025,Kansas City,MO,64161,Ameristar Casino,13%,"1,332","1,155",USD,1.0,$8.10,"$9,350.00",$789.69,$424.93,"$1,220.31",$0.00,$0.00,$0.00,$0.00,"$1,645.24","$6,915.07"
05/18/2025,Denver,CO,80202,Paramount Theatre,17%,"1,870","1,599",USD,1.0,$6.89,"$11,025.00",$924.22,$541.36,"$1,911.88",$0.00,$0.00,$0.00,$0.00,"$2,453.24","$7,647.54"
05/23/2025,Las Vegas,NV,89109,Westgate Las Vegas,18%,"3,000","2,800",USD,1.0,$4.50,"$12,595.00",$973.32,$600.06,"$2,204.33",$0.00,$0.00,$0.00,$0.00,"$2,804.39","$8,817.29"
05/30/2025,Niagara Falls,ON,L2G 3Y5,OLG Stage at Fallsview Casino Resort,19%,0,"6,000",CAD,0.724294,$2.03,"$12,171.76",$0.00,$564.77,"$2,321.40",$0.00,$0.00,$0.00,$0.00,"$2,886.17","$9,285.59"
06/05/2025,Colorado Springs,CO,80903,Pikes Peak Center,17%,"2,000",901,USD,1.0,$8.42,"$7,585.00",$574.84,$373.53,"$1,327.33",$0.00,$0.00,$0.00,$0.00,"$1,700.86","$5,309.30"
06/06/2025,Airway Heights,WA,99001,Spokane Tribe & Resort,17%,0,527,USD,1.0,$8.69,"$4,580.00",$378.16,$210.98,$798.17,$0.00,$0.00,$0.00,$0.00,"$1,009.15","$3,192.69"
06/19/2025,Pleasanton,CA,94566,Alameda County Fairgrounds,21%,0,"1,748",USD,1.0,$3.17,"$5,540.00",$515.05,$277.39,"$1,186.89",$0.00,$0.00,$0.00,$0.00,"$1,464.28","$3,560.67"
06/20/2025,Arlington,WA,98223,Angel of the Winds Casino Resort,0%,500,900,USD,1.0,$6.01,"$5,405.00",$459.89,$242.63,$0.00,$0.00,$0.00,$0.00,$0.00,$242.63,"$4,702.48"
TOTAL,"","","","","","32,973","38,039","","","","$164,401.76","$9,064.93","$6,876.07","$29,732.38",$0.00,$0.00,$0.00,$0.00,"$36,608.45","$118,728.38"
Avg/Show,"","","","",18%,"1,649","1,902","","",$3.90,"$8,220.09",$453.25,$343.80,"$1,486.62",$0.00,$0.00,$0.00,$0.00,"$1,830.42","$5,936.42"
