
Tour Summary
Artist: Deftones (MH)
Deftones Second Leg Tour 2025 for 08/22/2025 to 09/17/2025
Date,City,State,Zip,Venue,Venue Actual %,Capacity,Attend,Currency,Exch. Rate,Per Head,Gross,Tax,Payment Fees,Venue Fee,Venue Adjust.,Vend Fee,Ext Exp,Bootleg Exp,Selling Exp,Net Receipts
08/22/2025,Vancouver,BC,V6B 6G1,Vancouver Rogers Arena,17%,"18,000","12,382",CAD,0.719312,$29.04,"$359,576.88","$38,526.09","$17,331.31","$60,422.78",$0.00,$0.00,$0.00,$0.00,"$77,754.09","$243,296.70"
08/24/2025,Edmonton,AB,T5J 0H6,Rogers Place,18%,0,"12,479",CAD,0.722622,$33.99,"$424,153.82","$20,197.81","$19,058.79","$76,635.33",$0.00,$0.00,$0.00,$0.00,"$95,694.13","$308,261.89"
08/25/2025,Calgary,AB,T2G 2W1,The Scotiabank Saddledome,18%,"19,289","11,105",CAD,0.72308,$32.81,"$364,424.73","$17,353.56","$18,221.24","$65,408.44",$0.00,$0.00,$0.00,$0.00,"$83,629.68","$263,441.49"
08/27/2025,"Winnipeg, MB",Manitoba,R3C 5S4,Canada Life Centre,17%,"15,310","8,701",CAD,0.722807,$28.91,"$251,580.20","$26,955.02","$11,252.84","$42,393.09",$0.00,$0.00,$0.00,$0.00,"$53,645.93","$170,979.25"
08/29/2025,Minneapolis,Minnesota,55403,Target Center,14%,0,"11,698",USD,1.0,$32.41,"$379,078.20","$3,367.13","$18,953.91","$53,191.05",$0.00,$0.00,$0.00,$0.00,"$72,144.96","$303,566.11"
08/30/2025,Milwaukee,"",53203,Fiserv Forum,13%,0,"10,021",USD,1.0,$39.43,"$395,154.38","$28,931.60","$19,757.72","$51,752.26",$0.00,$0.00,$0.00,$0.00,"$71,509.98","$294,712.80"
09/01/2025,Buffalo,"",14203,KeyBank Center,14%,"19,200","9,605",USD,1.0,$28.71,"$275,740.00","$12,964.77","$12,566.33","$37,393.40",$0.00,$0.00,$0.00,$0.00,"$49,959.73","$212,815.50"
09/03/2025,Toronto,ON,M5V 1J3,Rogers Stadium,17%,0,"92,308",CAD,0.725424,$13.52,"$1,248,197.43","$143,597.93","$62,409.87","$207,857.59",$0.00,$0.00,$0.00,$0.00,"$270,267.46","$834,332.04"
09/07/2025,Québec City,Quebec,G1L 5A7,Centre Videotron,12%,"14,000","4,335",CAD,0.722674,$22.87,"$99,114.10","$12,909.19","$4,811.19","$12,118.00",$0.00,$0.00,$0.00,$0.00,"$16,929.19","$69,275.72"
09/08/2025,Montréal,Quebec,H3B 5E8,Centre Bell,16%,"21,273","11,544",CAD,0.722742,$20.79,"$239,939.23","$31,251.05","$11,996.96","$38,945.08",$0.00,$0.00,$0.00,$0.00,"$50,942.04","$157,746.14"
09/10/2025,Cleveland,Ohio,44115,ROCKET ARENA,13%,0,"10,990",USD,1.0,$32.30,"$354,963.60","$26,293.60","$15,973.36","$46,759.00",$0.00,$0.00,$0.00,$0.00,"$62,732.36","$265,937.64"
09/11/2025,Baltimore,"",21201,CFG Bank Arena,13%,0,"9,887",USD,1.0,$33.81,"$334,292.20","$18,922.20","$16,714.61","$44,741.31",$0.00,$0.00,$0.00,$0.00,"$61,455.92","$253,914.08"
09/13/2025,St Louis,"",63103,Enterprise Center,13%,18,"11,944",USD,1.0,$31.78,"$379,601.81","$36,626.35","$17,082.08","$48,858.50",$0.00,$0.00,$0.00,$0.00,"$65,940.58","$277,034.88"
09/15/2025,Denver,CO,80204,Ball Arena,13%,"20,000","11,430",USD,1.0,$38.66,"$441,890.00","$37,043.46","$20,691.01","$57,435.06",$0.00,$0.00,$0.00,$0.00,"$78,126.07","$326,720.47"
09/17/2025,Kansas City,MO,64106,T-Mobile Center,13%,"18,972","12,754",USD,1.0,$35.56,"$453,549.76","$41,138.07","$22,677.49","$58,214.15",$0.00,$0.00,$0.00,$0.00,"$80,891.64","$331,520.05"
TOTAL,"","","","","","146,062","241,183","","","","$6,001,256.34","$496,077.83","$289,498.71","$902,125.04",$0.00,$0.00,$0.00,$0.00,"$1,191,623.76","$4,313,554.76"
Avg/Show,"","","","",15%,"9,737","16,079","","",$24.88,"$400,083.76","$33,071.86","$19,299.91","$60,141.67",$0.00,$0.00,$0.00,$0.00,"$79,441.58","$287,570.32"
