
Tour Summary
Artist: Garbage (MH)
Garbage Happy Endings Tour  for 09/03/2025 to 10/26/2025
Date,City,State,Zip,Venue,Venue Actual %,Capacity,Attend,Currency,Exch. Rate,Per Head,Gross,Tax,Payment Fees,Venue Fee,Venue Adjust.,Vend Fee,Ext Exp,Bootleg Exp,Selling Exp,Net Receipts
09/03/2025,Orlando,FL,32819,Hard Rock Live,17%,"2,913","1,505",USD,1.0,$16.48,"$24,804.20","$1,513.88","$1,302.83","$4,265.50",$0.00,"$1,099.37",$0.00,$0.00,"$6,667.70","$16,622.62"
09/05/2025,Pompano Beach,FL,33060,Pompano Beach Amphitheatre,22%,"3,211","1,297",USD,1.0,$12.55,"$16,274.70","$1,064.70",$833.70,"$3,531.08",$0.00,$718.82,$0.00,$0.00,"$5,083.60","$10,126.40"
09/06/2025,Saint Petersburg,FL,33701,Jannus Live,17%,"1,950","1,646",USD,1.0,$10.24,"$16,860.00","$1,102.99",$804.76,"$2,900.73",$0.00,$747.61,$391.00,$0.00,"$4,844.10","$10,912.91"
09/08/2025,Atlanta,GA,30312,The Eastern,17%,"2,260","1,764",USD,1.0,$14.09,"$24,862.45","$2,031.92","$1,315.14","$4,195.08",$0.00,"$1,075.77",$0.00,$0.00,"$6,585.99","$16,244.54"
09/10/2025,Nashville,TN,37203,The Pinnacle,17%,"3,020","1,115",USD,1.0,$14.72,"$16,413.19","$1,458.13",$820.66,"$2,790.88",$0.00,$0.00,$0.00,$0.00,"$3,611.54","$11,343.52"
09/12/2025,Cleveland,"",44103,Agora Theatre,17%,0,"1,667",USD,1.0,$16.80,"$28,004.40","$2,074.40","$1,400.22","$4,779.96",$0.00,$0.00,$0.00,$0.00,"$6,180.18","$19,749.82"
09/13/2025,Detroit,MI,48201,Cathedral at the Masonic Temple Theatre,18%,"1,558","1,449",USD,1.0,$15.64,"$22,662.80","$1,282.80","$1,133.14","$4,007.37",$0.00,$0.00,$0.00,$0.00,"$5,140.51","$16,239.49"
09/16/2025,Philadelphia,PA,19123,Franklin Music Hall,14%,"2,700","1,187",USD,1.0,$14.43,"$17,128.40",$158.40,$835.59,"$2,387.16",$0.00,$806.72,$0.00,$0.00,"$4,029.47","$12,940.53"
09/17/2025,Washington,DC,20024,The Anthem,22%,"6,000","2,549",USD,1.0,$13.52,"$34,475.00","$1,951.41","$1,325.17","$7,638.29",$0.00,$0.00,$0.00,$0.00,"$8,963.46","$23,560.13"
09/18/2025,Boston,MA,02215,Roadrunner,18%,"3,500","1,835",USD,1.0,$14.23,"$26,109.24",$183.78,"$1,371.87","$4,778.70",$0.00,"$1,227.68",$0.00,$0.00,"$7,378.25","$18,547.21"
