Tour Summary,,,,,,,,,,,,,,,,,,,,
Artist: Jelly Roll (MH),,,,,,,,,,,,,,,,,,,,
Jelly Roll Q3 EU / UK 2025 for 08/18/2025 to 09/20/2025,,,,,,,,,,,,,,,,,,,,
Date,City,State,Zip,Venue,Venue Actual %,Capacity,Attend,Currency,Exch. Rate,Per Head,Gross,Tax,Payment Fees,Venue Fee,Venue Adjust.,Vend Fee,Ext Exp,Bootleg Exp,Selling Exp,Net Receipts
8/18/2025,Berlin,,12459,Parkbuhne Wuhlheide,25%,"16,210","14,877",EUR,0.863556,£0.52,"£7,728.83","£1,234.01",£0.00,"£1,932.21",£0.00,£0.00,£0.00,£0.00,"£1,932.21","£4,562.61"
8/20/2025,Frankfurt,,60388,Batschkapp,0%,700,"1,177",EUR,0.863303,£8.49,"£9,988.42","£1,594.79",£345.75,£0.00,£0.00,£0.00,£154.10,£0.00,£499.85,"£7,893.78"
8/27/2025,Milan,,,Hippodrome San Siro,25%,0,0,EUR,0.863489,£0.00,"£4,658.52",£840.06,£0.00,"£1,164.63",£0.00,£0.00,£0.00,£0.00,"£1,164.63","£2,653.83"
8/29/2025,Zurich,,,Zürich Openair,25%,0,0,CHF,0.923319,£0.00,"£3,374.73",£0.00,£0.00,£843.68,£0.00,£0.00,£0.00,£0.00,£843.68,"£2,531.05"
8/30/2025,Munich,,,Olympic Park Munich,25%,0,0,EUR,0.865273,£0.00,"£1,090.24",£174.08,£0.00,£272.56,£0.00,£0.00,£0.00,£0.00,£272.56,£643.61
9/1/2025,Köln,,51063,Carlswerk Viktoria,0%,"1,600","1,168",EUR,0.865728,£11.06,"£12,908.00","£2,060.94",£526.36,£0.00,£0.00,£0.00,£259.72,£0.00,£786.08,"£10,060.98"
9/2/2025,Amsterdam,,1101,AFAS Live,25%,"5,800","2,258",EUR,0.864795,£11.65,"£26,298.42","£4,564.19",£370.35,"£6,574.60",£0.00,£0.00,£0.00,£0.00,"£6,944.95","£14,789.27"
9/3/2025,Paris,,,La Défense Arena,25%,0,25,EUR,0.86932,£327.56,"£8,188.99","£1,364.83",£0.00,"£2,047.25",£0.00,£0.00,£0.00,£0.00,"£2,047.25","£4,776.91"
9/5/2025,Hannover,,,Heinz von Heiden Arena,25%,"42,000","33,458",EUR,0.867068,£0.20,"£6,624.40","£1,057.68",£0.00,"£1,656.10",£0.00,£0.00,£0.00,£0.00,"£1,656.10","£3,910.62"
9/9/2025,Arnhem,,,GelreDome Stadium,25%,0,"29,236",EUR,0.868332,£0.16,"£4,680.31",£812.28,£0.00,"£1,170.08",£0.00,£0.00,£0.00,£0.00,"£1,170.08","£2,697.95"
9/12/2025,Barcelona,,,Estadi Olímpic Lluís,28%,0,"20,700",EUR,0.864354,£0.22,"£4,697.76",£815.31,£0.00,"£1,315.37",£0.00,£0.00,£0.00,£0.00,"£1,315.37","£2,567.08"
9/14/2025,Lisbon,,,Estadio do Restelo,20%,"38,345","19,756",EUR,0.865467,£0.23,"£4,651.89",£869.86,£0.00,£945.51,£0.00,£0.00,£0.00,£0.00,£945.51,"£2,836.52"
9/20/2025,LONDON,,N17 0BX,TOTTENHAM HOTSPUR STADIUM,25%,"52,000","79,512",GBP,1,£1.28,"£102,060.00","£17,010.00",£0.00,"£25,515.00",£0.00,£0.00,£0.00,£0.00,"£25,515.00","£59,535.00"
TOTAL,,,,,,"156,655","202,167",,,,"£196,950.51","£32,398.03","£1,242.46","£43,436.99",£0.00,£0.00,£413.82,£0.00,"£45,093.27","£119,459.21"
Avg/Show,,,,,22%,"12,050","15,551",,,£0.93,"£15,150.04","£2,492.16",£95.57,"£3,341.31",£0.00,£0.00,£31.83,£0.00,"£3,468.71","£9,189.17"
