
Tour Summary
Artist: Lainey Wilson (MH)
Lainey Wilson Q2 2025 for 04/05/2025 to 06/27/2025
Date,City,State,Zip,Venue,Venue Actual %,Capacity,Attend,Currency,Exch. Rate,Per Head,Gross,Tax,Payment Fees,Venue Fee,Venue Adjust.,Vend Fee,Ext Exp,Bootleg Exp,Selling Exp,Net Receipts
04/05/2025,,,12345,PRIVATE EVENT,0%,0,140,USD,1.0,$128.96,"$18,055.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,055.00"
05/30/2025,Panama City Beach,FL,32413,Pepsi Gulf Coast Jam,18%,20,0,USD,1.0,$0.00,"$43,178.40","$3,198.40","$1,295.35","$7,736.93",$0.00,$0.00,$0.00,$0.00,"$9,032.28","$30,947.72"
05/31/2025,Lexington,KY,40504,Railbird Festival,18%,"20,000",0,USD,1.0,$0.00,"$87,211.50","$4,936.50","$4,360.58","$15,582.88",$832.10,$0.00,$0.00,$0.00,"$20,775.56","$61,499.44"
06/05/2025,Nashville,TN,37203,CMA Fan Fest Fan Fair X,0%,8,0,USD,1.0,$0.00,"$25,655.00","$2,279.15","$1,563.99",$0.00,$0.00,$0.00,"($5,624.75)",$0.00,"($4,060.76)","$27,436.61"
06/06/2025,Myrtle Beach,SC,29577,Carolina Country Music Festival,17%,"35,000",0,USD,1.0,$0.00,"$50,295.00","$4,152.80","$2,514.75","$8,725.49",$0.00,$0.00,$0.00,$0.00,"$11,240.24","$34,901.96"
06/19/2025,Wildwood,NJ,08260,Barefoot Country Music Fest,18%,0,0,USD,1.0,$0.00,"$38,385.00","$2,385.00","$1,919.25","$6,816.15",$0.00,$0.00,$0.00,$0.00,"$8,735.40","$27,264.60"
06/26/2025,Milwaukee,WI,53202,American Family Amphitheater,22%,0,"16,197",USD,1.0,$12.37,"$200,383.45","$14,671.26","$10,019.17","$43,923.26",$0.00,$0.00,$0.00,$0.00,"$53,942.43","$131,769.76"
06/27/2025,cadott,WI,54727,Hoofbeat Country Fest,28%,0,0,USD,1.0,$0.00,"$36,610.00","$1,908.58",$828.45,"$10,161.89",$0.00,$0.00,$0.00,$0.00,"$10,990.34","$23,711.08"
TOTAL,"","","","","","55,028","16,337","","","","$499,773.35","$33,531.69","$22,501.54","$92,946.60",$832.10,$0.00,"($5,624.75)",$0.00,"$110,655.49","$355,586.17"
Avg/Show,"","","","",19%,"6,879","2,042","","",$13.37,"$62,471.67","$4,191.46","$2,812.69","$11,618.33",$104.01,$0.00,($703.09),$0.00,"$13,831.94","$44,448.27"
