artistName,Instagram_followers,Genre
Air Supply,347,Pop
Alan Parsons Live,50059,Rock
All That Remains (MH),187342,Metal
Apocalyptica,319684,Metal
BOYS LIKE GIRLS (MH),141561,Pop Punk
Bert Kreischer (MH),3519332,Comedy
Billy Idol (Manhead),1046106,Rock
Billy Porter (MH),2170972,R&B
Black Pistol Fire,32027,Rock
Blindside (MH),11233,Metal
Butch Walker,88635,Rock
Celtic Thunder (MH),658175,Folk
Celtic Woman,94778,Folk
Clandestine,1020,Metal
Country Music Association (MH),1345831,Country
Dean Lewis (MH),2610983,Pop
Emerald Cup Festival (MH),7011,Festival
Fall Out Boy,3439667,Pop Punk
JXDN,3391902,Pop Punk
Jelly Roll (MH),5453964,Hip-Hop
Jerry Cantrell (MH),394104,Rock
Jewel (Manhead),604936,Folk
Joe Perry Project,501693,Rock
Joji (MH),7077985,R&B
Jukebox The Ghost (Manhead),39558,Rock
Justin Hayward (Manhead),13732,Rock
LIMP BIZKIT (MH),1682769,Metal
Lykke Li (MH),389032,Pop
Machine Gun Kelly (MH),9191964,Rap Rock
Macklemore (MH),6513254,Hip-Hop
Marina (MH),2099288,Pop
Marvelous 3,88635,Hip-Hop
Masiwei (MH),430225,Hip-Hop
Matt And Kim,102973,Pop
Midnight Oil (MH),49245,Rock
Midtown,11642,Pop Punk
Morrissey,157443,Rock
NIKI,3029263,R&B
Nessa Barrett (MH),6084823,Pop
New Edition,247629,R&B
Noel Gallagher HFB (MH),1547473,Rock
Panic! At the Disco,4179041,Rock
Royal Blood (MH),484559,Rock
Seal (MH),866564,R&B
Sebastian Maniscalco (MH),2199863,Comedy
Sexyy Red,5374295,Hip-Hop
Shame,106959,Rock
Skegss (MH),164999,Rock
Sonic Symphony,118,Electronic
Taylor Tomlinson (MH),2784491,Comedy
The Buggles (MH),22936,Pop
The Chats (MH),241740,Punk
The Sisters Of Mercy (MH),35744,Rock
The Smashing Pumpkins (MH),1453869,Rock
The Zombies (MH),62859,Rock
Toto (MH),263249,Rock
Trevor Noah (MH),9451909,Comedy
Warren Hue,177911,Hip-Hop
Willow (MH),11428691,Pop
YES (MH),168493,Rock
ASIA (MH),7863,Rock
Alanis Morissette (MH),1555710,Rock
Alanis Morissette Wellness Brand,1555710,Rock
Andrew McMahon in the Wilderness (MH),138069,Alternative
Atarashii Gakko! (MH),1385272,Pop
Austin Snell (MH),75036,Country
B 52's,204700,Rock
Band Loula,163800,Country
Brantley Gilbert (MH),1882613,Country
Cyndi Lauper (MH),1961663,Pop
Dashboard Confessional (MH),224600,Pop
Deftones (MH),4010418,Metal
Gaslight Anthem (MH),104926,Alternative
Gavin DeGraw,320062,Pop
Halestorm (MH),489800,Metal
INHALER (MH),402727,Rock
J.I.D.,1729471,Hip-Hop
Joan Jett (MH),906196,Rock
Kameron Marlowe (MH),265247,Country
Labrinth (MH),1252924,Pop
Lainey Wilson (MH),3546484,Country
Lukas Nelson (MH),384556,Country
Maddie Zahm (MH),196709,Pop
Madness (MH),156100,Pop
Manchester Orchestra (MH),150054,Rock
Matt Nathanson,101500,Rock
Megadeth,3343868,Metal
Michael Franti & Spearhead (Manhead),254600,Rap Rock
Oliver Anthony (MH),2013309,Country
Something Corporate (MH),44200,Pop Punk
Stardew Valley,19300,Hip-Hop
Temples (MH),73200,Alternative
The Interrupters (MH),265400,Punk
The Marley Brothers (MH),109800,Reggae
Train,398700,Rock
Tyler Childers (MH),1804987,Country
Umphrey's McGee,145500,Rock
Weezer (MH),1190654,Rock
Yellowcard (MH),212639,Pop Punk
Zac Brown Band (MH),1281884,Country
Zach Top (MH),1487682,Country
Garbage (MH),195000,Rock
2 Chainz Mh,12500000,Rap
Alanis Morissette Mh,1600000,Alternative
Alice In Chains Mh,1500000,Rock
Andrew Mcmahon In The Wilderness Mh,139000,Alternative
Asia Mh,9349,Rock
Billy Idol Manhead,1200000,Rock
Black Veil Brides Mh,1800000,Metal
Brantley Gilbert Mh,1900000,Country
Celtic Thunder Mh,736000,Folk
Christopher Cross Mh,109000,Rock
Chvrches Mh,376000,Electronic
Coheed And Cambria Mh,249000,Metal
Counting Crows Mh,236000,Rock
Cyndi Lauper Mh,2000000,Pop
Dashboard Confessional Mh,250000,Alternative
Dolly Parton Mh,8400000,Country
Ian Munsick Mh,283000,Country
Jack S Mannequin Mh,27300,Alternative
Jackson Browne Mh,117000,Folk
Joan Jett Mh,932000,Rock
Labrinth Mh,1300000,R&B
Lanie Gardner Mh,570000,Country
Lukas Nelson Mh,391000,Country
Old Dominion Mh,1100000,Country
Panic At The Disco,4200000,Rock
Rich Brian Mh,3500000,Rap
Ryan Bingham Mh,949000,Country
Smoky Mountain Christmas Carol,1436,Alternative
Sofia Isella,2900000,Folk
Sombr Mh,3500000,Alternative
The B 52s,210000,Alternative
The Band Loula,179000,Country
The Gaslight Anthem Mh,105000,Rock
The Temper Trap Mh,158000,Alternative
Toto Mh,287000,Rock
Tyler Childers Mh,1800000,Country
Tyler Hubbard Mh,877000,Country
Umphreys Mcgee,145500,Rock
Weezer Mh,1400000,Alternative
Willie S Reserve Mh,73400,Country
Zac Brown Band Mh,1200000,Country
