artistName,Genre,Instagram_followers,note,spotifyMonthlyListeners
2 Chainz Mh,,0,,10571174
Alanis Morissette Mh,,0,,9938366
Alice In Chains Mh,,0,,12141556
All That Remains Mh,,0,,1444811
Andrew Mcmahon In The Wilderness Mh,,0,,383062
Asia Mh,,0,,2575636
Atarashii Gakko Mh,,0,,815880
Austin Snell Mh,,0,,1335615
Bert Kreischer Mh,,0,,25335
Billy Idol Manhead,,0,,17440632
Billy Porter Mh,,0,,139523
Black Veil Brides Mh,,0,,2565268
Blindside Mh,,0,,164650
Boys Like Girls Mh,,0,,3724776
Brantley Gilbert Mh,,0,,3264936
Celtic Thunder Mh,,0,,196217
Christopher Cross Mh,,0,,8175683
Chvrches Mh,,0,,4016881
Circa Waves Mh,,0,,663890
Clay Walker Mh,,0,,2147245
Coheed And Cambria Mh,,0,,1248480
Counting Crows Mh,,0,,12246557
Country Music Association Mh,,0,,0
Cyndi Lauper Mh,,0,,18051167
Dashboard Confessional Mh,,0,,1700833
Dean Lewis Mh,,0,,15664858
Death Stranding,,0,,0
Dolly Parton Mh,,0,,16703708
Eagles Of Death Metal Manhead,,0,,1058224
Earthgang,,0,,2742180
Emerald Cup Festival Mh,,0,,0
Emilia Mh,,0,,12308247
Empire Of The Sun Mh,,0,,40691938
Goodbye June Mh,,0,,328898
Halestorm Mh,,0,,3604197
Ian Munsick Mh,,0,,1809826
Inhaler Mh,,0,,1155270
J I D,,0,,16901208
Jack S Mannequin Mh,,0,,422070
Jackson Browne Mh,,0,,3552713
Jerry Cantrell Mh,,0,,300503
Jewel Manhead,,0,,1797677
Joan Jett Mh,,0,,6814620
Joey Valence Brae Mh,,0,,4728749
Joji Mh,,0,,27458511
Jukebox The Ghost Manhead,,0,,426893
Justin Hayward Manhead,,0,,124850
Kameron Marlowe Mh,,0,,4001025
Key Glock Mh,,0,,10490002
Labrinth Mh,,0,,22679362
Lanie Gardner Mh,,0,,1342787
Lauren Jauregui Mh,,0,,567827
Lennon Stella Mh,,0,,3102967
Limp Bizkit Mh,,0,,22315871
Lukas Nelson Mh,,0,,1078260
Lykke Li Mh,,0,,15924026
Machine Gun Kelly Mh,,0,,15229654
Macklemore Mh,,0,,31403374
Maddie Zahm Mh,,0,,826734
Madness Mh,,0,,3441622
Manchester Orchestra Mh,,0,,2568882
Manhead Training Account,,0,,0
Marc Rebillet Mh,,0,,488030
Marina Mh,,0,,14188971
Masiwei Mh,,0,,238607
Michael Franti Spearhead Manhead,,0,,1390846
Midnight Oil Mh,,0,,4521268
Nessa Barrett Mh,,0,,5732489
Noel Gallagher Hfb Mh,,0,,1765310
Old Dominion Mh,,0,,4584269
Oliver Anthony Mh,,0,,2386814
Panic At The Disco,Rock,4179041,auto-matched from: Panic! At the Disco,21008505
Paul Simon Mh,,0,,8498209
Persona Live,,0,,0
Rich Brian Mh,,0,,3099082
Royal Blood Mh,,0,,2874541
Ryan Bingham Mh,,0,,1559480
Seal Mh,,0,,7537117
Sebastian Maniscalco Mh,,0,,152524
Sirius Xm,,0,,0
Skegss Mh,,0,,521446
Smoky Mountain Christmas Carol,,0,,0
Sofia Isella,,0,,1180217
Sombr Mh,,0,,60125962
Something Corporate Mh,,0,,320202
Taylor Tomlinson Mh,,0,,0
Temples Mh,,0,,418306
The B 52s,,0,,3875092
The Band Loula,,0,,49941
The Buggles Mh,,0,,3424269
The Chats Mh,,0,,463567
The Gaslight Anthem Mh,,0,,490326
The Marley Brothers Mh,,0,,10397
The Sisters Of Mercy Mh,,0,,1005029
The Smashing Pumpkins Mh,,0,,14189716
The Temper Trap Mh,,0,,17103839
The Zombies Mh,,0,,5128445
Toto Mh,,0,,28186000
Trevor Noah Mh,,0,,0
Two Door Cinema Club Mh,,0,,9819046
Tyler Childers Mh,,0,,10827746
Tyler Hubbard Mh,,0,,3316679
Umphreys Mcgee,Rock,145500,auto-matched from: Umphrey's McGee,165684
Warren Hue Ship To Home,,0,,257629
We The Kings,,0,,3160691
Weezer Mh,,0,,23094624
Weird Al Yankovic Mh,,0,,1183239
Will Smith Mh,,0,,10719093
Willie S Reserve Mh,,0,,0
Willow Mh,,0,,16497271
X Ambassadors Mh,,0,,9505461
Yes Mh,,0,,4083500
Zac Brown Band Mh,,0,,10773685
Zach Top Mh,,0,,7063887
Zedd Mh,,0,,19327195
